Alliage,Temperature,Duree du TTH,ParticleShapeFactor,A particle,B particle,FileIdInDir
Alliage,Temp,Duree,0.34,15.8,46.5,0
Alliage,Temp,Duree,0.4,25.0,62.0,0
Alliage,Temp,Duree,0.44,27.8,63.0,0
Alliage,Temp,Duree,0.45,33.5,75.0,0
Alliage,Temp,Duree,0.65,68.2,105.5,0
Alliage,Temp,Duree,0.29,18.8,64.0,0
Alliage,Temp,Duree,0.41,25.5,61.5,0
Alliage,Temp,Duree,0.22,9.5,43.0,0
Alliage,Temp,Duree,0.51,38.8,75.5,0
Alliage,Temp,Duree,0.52,50.2,96.8,0
Alliage,Temp,Duree,0.45,29.5,65.0,0
Alliage,Temp,Duree,0.43,27.5,64.5,0
Alliage,Temp,Duree,0.48,33.0,68.5,0
Alliage,Temp,Duree,0.44,29.5,67.5,0
Alliage,Temp,Duree,0.55,30.5,55.5,0
Alliage,Temp,Duree,0.61,52.8,86.0,0
Alliage,Temp,Duree,0.41,19.5,48.0,0
Alliage,Temp,Duree,0.37,19.8,53.5,0
Alliage,Temp,Duree,0.35,23.0,66.0,0
Alliage,Temp,Duree,0.34,21.8,64.5,0
Alliage,Temp,Duree,0.58,45.8,79.3,0
Alliage,Temp,Duree,0.69,71.2,103.5,0
Alliage,Temp,Duree,0.47,34.0,72.0,0
Alliage,Temp,Duree,0.54,39.0,72.5,0
Alliage,Temp,Duree,0.46,32.5,71.0,0
Alliage,Temp,Duree,0.5,36.0,71.5,0
Alliage,Temp,Duree,0.38,30.3,80.5,0
Alliage,Temp,Duree,0.38,10.2,27.0,0
Alliage,Temp,Duree,0.38,23.0,60.5,0
Alliage,Temp,Duree,0.5,35.5,71.5,0
Alliage,Temp,Duree,0.33,20.0,61.5,0
Alliage,Temperature,Duree du TTH,ParticleShapeFactor,A particle,B particle,FileIdInDir
Alliage,Temp,Duree,0.71,144.8,204.0,1
Alliage,Temp,Duree,0.73,142.6,195.0,1
Alliage,Temp,Duree,0.72,164.4,228.6,1
Alliage,Temp,Duree,0.76,152.2,199.5,1
